ID,Site,Location,Treatment,DateTime,Date,Time,Time_Int,Temp
OTM1,Ledge1B,Rookery,Shaded,6/9/2020 22:00,6/9/2020,22:00,22,11.5
OTM1,Ledge1B,Rookery,Shaded,6/9/2020 23:00,6/9/2020,23:00,23,11
OTM1,Ledge1B,Rookery,Shaded,6/10/2020 0:00,6/10/2020,0:00,0,11
OTM1,Ledge1B,Rookery,Shaded,6/10/2020 1:00,6/10/2020,1:00,1,10.5
OTM1,Ledge1B,Rookery,Shaded,6/10/2020 2:00,6/10/2020,2:00,2,10.5
OTM1,Ledge1B,Rookery,Shaded,6/10/2020 3:00,6/10/2020,3:00,3,10.5
OTM1,Ledge1B,Rookery,Shaded,6/10/2020 4:00,6/10/2020,4:00,4,10
OTM1,Ledge1B,Rookery,Shaded,6/10/2020 5:00,6/10/2020,5:00,5,10
OTM1,Ledge1B,Rookery,Shaded,6/10/2020 6:00,6/10/2020,6:00,6,10
OTM1,Ledge1B,Rookery,Shaded,6/10/2020 7:00,6/10/2020,7:00,7,10
OTM1,Ledge1B,Rookery,Shaded,6/10/2020 8:00,6/10/2020,8:00,8,10.5
OTM1,Ledge1B,Rookery,Shaded,6/10/2020 9:00,6/10/2020,9:00,9,11
OTM1,Ledge1B,Rookery,Shaded,6/10/2020 10:00,6/10/2020,10:00,10,11
OTM1,Ledge1B,Rookery,Shaded,6/10/2020 11:00,6/10/2020,11:00,11,11.5
OTM1,Ledge1B,Rookery,Shaded,6/10/2020 12:00,6/10/2020,12:00,12,11.5
OTM1,Ledge1B,Rookery,Shaded,6/10/2020 13:00,6/10/2020,13:00,13,11.5
OTM1,Ledge1B,Rookery,Shaded,6/10/2020 14:00,6/10/2020,14:00,14,11.5
OTM1,Ledge1B,Rookery,Shaded,6/10/2020 15:00,6/10/2020,15:00,15,11.5
OTM1,Ledge1B,Rookery,Shaded,6/10/2020 16:00,6/10/2020,16:00,16,11.5
OTM1,Ledge1B,Rookery,Shaded,6/10/2020 17:00,6/10/2020,17:00,17,11.5
OTM1,Ledge1B,Rookery,Shaded,6/10/2020 18:00,6/10/2020,18:00,18,11.5
OTM1,Ledge1B,Rookery,Shaded,6/10/2020 19:00,6/10/2020,19:00,19,11.5
