snakeid,mass_g,date,time,temp,location
G4,498.4,5/28/2020,7:01,26.617,rook
G4,498.4,5/28/2020,8:01,25.617,rook
G4,498.4,5/28/2020,9:01,25.617,rook
G4,498.4,5/28/2020,10:01,24.617,rook
G4,498.4,5/28/2020,11:01,24.117,rook
G4,498.4,5/28/2020,12:01,29.615,rook
G4,498.4,5/28/2020,13:01,30.115,rook
G4,498.4,5/28/2020,14:01,30.115,rook
G4,498.4,5/28/2020,15:01,30.115,rook
G4,498.4,5/28/2020,16:01,31.113,rook
G4,498.4,5/28/2020,17:01,31.612,rook
G4,498.4,5/28/2020,18:01,31.113,rook
G4,498.4,5/28/2020,19:01,24.117,rook
G4,498.4,5/28/2020,20:01,22.616,rook
G4,498.4,5/28/2020,21:01,22.616,rook
G4,498.4,5/28/2020,22:01,20.613,rook
G4,498.4,5/28/2020,23:01,21.114,rook
G4,498.4,5/29/2020,0:01,20.613,rook
G4,498.4,5/29/2020,1:01,20.113,rook
G4,498.4,5/29/2020,2:01,19.612,rook
G4,498.4,5/29/2020,3:01,18.61,rook
G4,498.4,5/29/2020,4:01,18.109,rook
G4,498.4,5/29/2020,5:01,17.608,rook
G4,498.4,5/29/2020,6:01,17.106,rook
G4,498.4,5/29/2020,7:01,16.605,rook
G4,498.4,5/29/2020,8:01,18.61,rook
G4,498.4,5/29/2020,9:01,28.116,rook
G4,498.4,5/29/2020,10:01,32.112,rook
G4,498.4,5/29/2020,11:01,31.612,rook
G4,498.4,5/29/2020,12:01,29.615,rook
G4,498.4,5/29/2020,13:01,29.615,rook
G4,498.4,5/29/2020,14:01,26.617,rook
G4,498.4,5/29/2020,15:01,24.117,rook
G4,498.4,5/29/2020,16:01,30.115,rook
G4,498.4,5/29/2020,17:01,28.116,rook
G4,498.4,5/29/2020,18:01,29.116,rook
G4,498.4,5/29/2020,19:01,28.616,rook
G4,498.4,5/29/2020,20:01,28.616,rook
G4,498.4,5/29/2020,21:01,28.116,rook
G4,498.4,5/29/2020,22:01,27.617,rook
