snakeid,mass_g,date,time,temp,location
G10,479.9,5/28/2020,6:59,14.111,rook
G10,479.9,5/28/2020,7:59,14.111,rook
G10,479.9,5/28/2020,8:59,14.111,rook
G10,479.9,5/28/2020,9:59,14.613,rook
G10,479.9,5/28/2020,10:59,15.114,rook
G10,479.9,5/28/2020,11:59,15.615,rook
G10,479.9,5/28/2020,12:59,16.617,rook
G10,479.9,5/28/2020,13:59,18.12,rook
G10,479.9,5/28/2020,14:59,20.122,rook
G10,479.9,5/28/2020,15:59,21.123,rook
G10,479.9,5/28/2020,16:59,22.624,rook
G10,479.9,5/28/2020,17:59,26.125,rook
G10,479.9,5/28/2020,18:59,30.122,rook
G10,479.9,5/28/2020,19:59,31.121,rook
G10,479.9,5/28/2020,20:59,29.123,rook
G10,479.9,5/28/2020,21:59,27.125,rook
G10,479.9,5/28/2020,22:59,26.125,rook
G10,479.9,5/28/2020,23:59,24.625,rook
G10,479.9,5/29/2020,0:59,23.625,rook
G10,479.9,5/29/2020,1:59,22.624,rook
G10,479.9,5/29/2020,2:59,22.124,rook
G10,479.9,5/29/2020,3:59,22.124,rook
G10,479.9,5/29/2020,4:59,26.625,rook
G10,479.9,5/29/2020,5:59,28.124,rook
G10,479.9,5/29/2020,6:59,28.124,rook
G10,479.9,5/29/2020,7:59,28.124,rook
G10,479.9,5/29/2020,8:59,29.123,rook
G10,479.9,5/29/2020,9:59,29.623,rook
G10,479.9,5/29/2020,10:59,30.621,rook
G10,479.9,5/29/2020,11:59,25.625,rook
G10,479.9,5/29/2020,12:59,28.624,rook
G10,479.9,5/29/2020,13:59,29.623,rook
G10,479.9,5/29/2020,14:59,32.618,rook
G10,479.9,5/29/2020,15:59,33.617,rook
G10,479.9,5/29/2020,16:59,31.62,rook
G10,479.9,5/29/2020,17:59,28.624,rook
G10,479.9,5/29/2020,18:59,28.624,rook
G10,479.9,5/29/2020,19:59,27.624,rook
G10,479.9,5/29/2020,20:59,27.125,rook
G10,479.9,5/29/2020,21:59,26.125,rook
G10,479.9,5/29/2020,22:59,25.125,rook
G10,479.9,5/29/2020,23:59,24.625,rook
G10,479.9,5/30/2020,0:59,24.125,rook
G10,479.9,5/30/2020,1:59,24.125,rook
G10,479.9,5/30/2020,2:59,24.125,rook
G10,479.9,5/30/2020,3:59,23.125,rook
G10,479.9,5/30/2020,4:59,22.624,rook
G10,479.9,5/30/2020,5:59,22.124,rook
G10,479.9,5/30/2020,6:59,21.123,rook
G10,479.9,5/30/2020,7:59,21.123,rook
G10,479.9,5/30/2020,8:59,30.621,rook
G10,479.9,5/30/2020,9:59,33.617,rook
G10,479.9,5/30/2020,10:59,32.119,rook
G10,479.9,5/30/2020,11:59,32.618,rook
G10,479.9,5/30/2020,12:59,33.118,rook
G10,479.9,5/30/2020,13:59,33.118,rook
G10,479.9,5/30/2020,14:59,33.617,rook
G10,479.9,5/30/2020,15:59,28.624,rook
G10,479.9,5/30/2020,16:59,25.625,rook
G10,479.9,5/30/2020,17:59,25.125,rook
G10,479.9,5/30/2020,18:59,24.625,rook
G10,479.9,5/30/2020,19:59,24.125,rook
G10,479.9,5/30/2020,20:59,24.125,rook
G10,479.9,5/30/2020,21:59,23.625,rook
G10,479.9,5/30/2020,22:59,22.624,rook
G10,479.9,5/30/2020,23:59,22.124,rook
G10,479.9,5/31/2020,0:59,21.123,rook
G10,479.9,5/31/2020,1:59,20.623,rook
G10,479.9,5/31/2020,2:59,20.122,rook
G10,479.9,5/31/2020,3:59,20.623,rook
G10,479.9,5/31/2020,4:59,20.623,rook
G10,479.9,5/31/2020,5:59,20.122,rook
G10,479.9,5/31/2020,6:59,19.622,rook
G10,479.9,5/31/2020,7:59,19.622,rook
