snakeid,mass_g,date,time,temp,location
G5,343,5/28/2020,6:59,26.555,rook
G5,343,5/28/2020,7:59,26.555,rook
G5,343,5/28/2020,8:59,26.555,rook
G5,343,5/28/2020,9:59,25.055,rook
G5,343,5/28/2020,10:59,25.055,rook
G5,343,5/28/2020,11:59,30.552,rook
G5,343,5/28/2020,12:59,26.055,rook
G5,343,5/28/2020,13:59,25.555,rook
G5,343,5/28/2020,14:59,29.054,rook
G5,343,5/28/2020,15:59,30.053,rook
G5,343,5/28/2020,16:59,32.051,rook
G5,343,5/28/2020,17:59,33.05,rook
G5,343,5/28/2020,18:59,25.555,rook
G5,343,5/28/2020,19:59,24.555,rook
G5,343,5/28/2020,20:59,24.054,rook
G5,343,5/28/2020,21:59,24.054,rook
G5,343,5/28/2020,22:59,23.054,rook
G5,343,5/28/2020,23:59,22.054,rook
G5,343,5/29/2020,0:59,21.553,rook
G5,343,5/29/2020,1:59,20.552,rook
G5,343,5/29/2020,2:59,20.052,rook
G5,343,5/29/2020,3:59,19.051,rook
G5,343,5/29/2020,4:59,18.55,rook
G5,343,5/29/2020,5:59,18.049,rook
G5,343,5/29/2020,6:59,17.549,rook
G5,343,5/29/2020,7:59,16.547,rook
G5,343,5/29/2020,8:59,25.055,rook
G5,343,5/29/2020,9:59,32.051,rook
G5,343,5/29/2020,10:59,29.054,rook
G5,343,5/29/2020,11:59,30.552,rook
G5,343,5/29/2020,12:59,30.053,rook
G5,343,5/29/2020,13:59,28.054,rook
G5,343,5/29/2020,14:59,28.054,rook
G5,343,5/29/2020,15:59,27.554,rook
G5,343,5/29/2020,16:59,29.054,rook
G5,343,5/29/2020,17:59,27.554,rook
G5,343,5/29/2020,18:59,26.555,rook
G5,343,5/29/2020,19:59,25.555,rook
G5,343,5/29/2020,20:59,25.055,rook
G5,343,5/29/2020,21:59,24.555,rook
G5,343,5/29/2020,22:59,23.554,rook
G5,343,5/29/2020,23:59,23.054,rook
G5,343,5/30/2020,0:59,22.554,rook
G5,343,5/30/2020,1:59,21.553,rook
G5,343,5/30/2020,2:59,21.053,rook
G5,343,5/30/2020,3:59,20.552,rook
G5,343,5/30/2020,4:59,20.052,rook
G5,343,5/30/2020,5:59,19.551,rook
G5,343,5/30/2020,6:59,19.051,rook
G5,343,5/30/2020,7:59,18.55,rook
G5,343,5/30/2020,8:59,24.054,rook
G5,343,5/30/2020,9:59,33.05,rook
G5,343,5/30/2020,10:59,28.054,rook
G5,343,5/30/2020,11:59,23.554,rook
G5,343,5/30/2020,12:59,31.551,rook
G5,343,5/30/2020,13:59,31.052,rook
G5,343,5/30/2020,14:59,30.053,rook
G5,343,5/30/2020,15:59,24.555,rook
G5,343,5/30/2020,16:59,21.553,rook
G5,343,5/30/2020,17:59,21.553,rook
G5,343,5/30/2020,18:59,21.053,rook
G5,343,5/30/2020,19:59,20.552,rook
G5,343,5/30/2020,20:59,20.552,rook
G5,343,5/30/2020,21:59,20.552,rook
G5,343,5/30/2020,22:59,20.052,rook
G5,343,5/30/2020,23:59,19.551,rook
G5,343,5/31/2020,0:59,19.551,rook
G5,343,5/31/2020,1:59,19.051,rook
G5,343,5/31/2020,2:59,18.55,rook
G5,343,5/31/2020,3:59,18.55,rook
G5,343,5/31/2020,4:59,18.049,rook
G5,343,5/31/2020,5:59,17.549,rook
G5,343,5/31/2020,6:59,17.549,rook
G5,343,5/31/2020,7:59,17.048,rook
G5,343,5/31/2020,8:59,16.547,rook
G5,343,5/31/2020,9:59,32.051,rook
G5,343,5/31/2020,10:59,29.054,rook
G5,343,5/31/2020,11:59,31.052,rook
G5,343,5/31/2020,12:59,24.054,rook
G5,343,5/31/2020,13:59,28.554,rook
G5,343,5/31/2020,14:59,33.549,rook
G5,343,5/31/2020,15:59,31.551,rook
G5,343,5/31/2020,16:59,29.553,rook
G5,343,5/31/2020,17:59,29.054,rook
G5,343,5/31/2020,18:59,25.555,rook
G5,343,5/31/2020,19:59,24.054,rook
G5,343,5/31/2020,20:59,23.054,rook
G5,343,5/31/2020,21:59,22.554,rook
G5,343,5/31/2020,22:59,21.553,rook
G5,343,5/31/2020,23:59,21.053,rook
G5,343,6/1/2020,0:59,20.552,rook
G5,343,6/1/2020,1:59,20.052,rook
G5,343,6/1/2020,2:59,20.052,rook
G5,343,6/1/2020,3:59,19.551,rook
G5,343,6/1/2020,4:59,19.051,rook
G5,343,6/1/2020,5:59,18.55,rook
G5,343,6/1/2020,6:59,18.049,rook
G5,343,6/1/2020,7:59,18.049,rook
G5,343,6/1/2020,8:59,17.549,rook
G5,343,6/1/2020,9:59,34.048,rook
G5,343,6/1/2020,10:59,33.549,rook
G5,343,6/1/2020,11:59,30.552,rook
G5,343,6/1/2020,12:59,25.055,rook
G5,343,6/1/2020,13:59,27.055,rook
G5,343,6/1/2020,14:59,28.554,rook
G5,343,6/1/2020,15:59,31.551,rook
G5,343,6/1/2020,16:59,31.551,rook
G5,343,6/1/2020,17:59,29.553,rook
G5,343,6/1/2020,18:59,26.555,rook
G5,343,6/1/2020,19:59,26.055,rook
G5,343,6/1/2020,20:59,25.555,rook
G5,343,6/1/2020,21:59,25.055,rook
G5,343,6/1/2020,22:59,24.555,rook
G5,343,6/1/2020,23:59,23.554,rook
G5,343,6/2/2020,0:59,23.054,rook
G5,343,6/2/2020,1:59,22.554,rook
G5,343,6/2/2020,2:59,21.553,rook
G5,343,6/2/2020,3:59,21.053,rook
G5,343,6/2/2020,4:59,20.552,rook
G5,343,6/2/2020,5:59,20.052,rook
G5,343,6/2/2020,6:59,19.551,rook
G5,343,6/2/2020,7:59,19.051,rook
G5,343,6/2/2020,8:59,18.55,rook
G5,343,6/2/2020,9:59,27.554,rook
G5,343,6/2/2020,10:59,34.547,rook
G5,343,6/2/2020,11:59,26.555,rook
G5,343,6/2/2020,12:59,26.555,rook
G5,343,6/2/2020,13:59,32.051,rook
G5,343,6/2/2020,14:59,31.052,rook
G5,343,6/2/2020,15:59,29.553,rook
G5,343,6/2/2020,16:59,28.554,rook
G5,343,6/2/2020,17:59,26.055,rook
G5,343,6/2/2020,18:59,23.554,rook
G5,343,6/2/2020,19:59,22.554,rook
G5,343,6/2/2020,20:59,22.554,rook
G5,343,6/2/2020,21:59,23.054,rook
G5,343,6/2/2020,22:59,23.054,rook
G5,343,6/2/2020,23:59,22.554,rook
G5,343,6/3/2020,0:59,21.553,rook
G5,343,6/3/2020,1:59,21.053,rook
G5,343,6/3/2020,2:59,20.552,rook
G5,343,6/3/2020,3:59,20.052,rook
G5,343,6/3/2020,4:59,19.551,rook
G5,343,6/3/2020,5:59,19.551,rook
G5,343,6/3/2020,6:59,19.051,rook
G5,343,6/3/2020,7:59,18.55,rook
G5,343,6/3/2020,8:59,28.054,rook
G5,343,6/3/2020,9:59,30.552,rook
G5,343,6/3/2020,10:59,31.551,rook
G5,343,6/3/2020,11:59,29.054,rook
G5,343,6/3/2020,12:59,27.554,rook
G5,343,6/3/2020,13:59,27.055,rook
G5,343,6/3/2020,14:59,27.055,rook
G5,343,6/3/2020,15:59,27.554,rook
G5,343,6/3/2020,16:59,27.055,rook
G5,343,6/3/2020,17:59,25.055,rook
G5,343,6/3/2020,18:59,24.555,rook
G5,343,6/3/2020,19:59,24.054,rook
G5,343,6/3/2020,20:59,23.554,rook
G5,343,6/3/2020,21:59,23.054,rook
G5,343,6/3/2020,22:59,23.054,rook
G5,343,6/3/2020,23:59,22.554,rook
G5,343,6/4/2020,0:59,22.054,rook
G5,343,6/4/2020,1:59,21.553,rook
G5,343,6/4/2020,2:59,21.053,rook
G5,343,6/4/2020,3:59,20.552,rook
G5,343,6/4/2020,4:59,20.052,rook
G5,343,6/4/2020,5:59,19.551,rook
G5,343,6/4/2020,6:59,19.051,rook
G5,343,6/4/2020,7:59,18.55,rook
G5,343,6/4/2020,8:59,18.55,rook
G5,343,6/4/2020,9:59,24.555,rook
G5,343,6/4/2020,10:59,30.552,rook
G5,343,6/4/2020,11:59,32.55,rook
G5,343,6/4/2020,12:59,31.052,rook
G5,343,6/4/2020,13:59,28.554,rook
G5,343,6/4/2020,14:59,31.551,rook
G5,343,6/4/2020,15:59,30.552,rook
G5,343,6/4/2020,16:59,26.555,rook
G5,343,6/4/2020,17:59,24.054,rook
G5,343,6/4/2020,18:59,23.554,rook
G5,343,6/4/2020,19:59,23.554,rook
G5,343,6/4/2020,20:59,22.554,rook
G5,343,6/4/2020,21:59,22.054,rook
G5,343,6/4/2020,22:59,21.553,rook
G5,343,6/4/2020,23:59,21.553,rook
G5,343,6/5/2020,0:59,21.053,rook
G5,343,6/5/2020,1:59,20.052,rook
G5,343,6/5/2020,2:59,19.551,rook
G5,343,6/5/2020,3:59,19.551,rook
G5,343,6/5/2020,4:59,19.051,rook
G5,343,6/5/2020,5:59,18.55,rook
G5,343,6/5/2020,6:59,18.049,rook
G5,343,6/5/2020,7:59,17.549,rook
G5,343,6/5/2020,8:59,24.555,rook
G5,343,6/5/2020,9:59,31.052,rook
G5,343,6/5/2020,10:59,32.051,rook
G5,343,6/5/2020,11:59,34.048,rook
G5,343,6/5/2020,12:59,28.554,rook
G5,343,6/5/2020,13:59,29.054,rook
G5,343,6/5/2020,14:59,28.054,rook
G5,343,6/5/2020,15:59,27.554,rook
G5,343,6/5/2020,16:59,33.549,rook
G5,343,6/5/2020,17:59,30.552,rook
G5,343,6/5/2020,18:59,28.054,rook
G5,343,6/5/2020,19:59,22.554,rook
G5,343,6/5/2020,20:59,25.555,rook
G5,343,6/5/2020,21:59,24.555,rook
G5,343,6/5/2020,22:59,22.554,rook
G5,343,6/5/2020,23:59,20.552,rook
G5,343,6/6/2020,0:59,18.55,field
G5,343,6/6/2020,1:59,20.052,field
G5,343,6/6/2020,2:59,16.547,field
G5,343,6/6/2020,3:59,14.543,field
G5,343,6/6/2020,4:59,14.042,field
G5,343,6/6/2020,5:59,13.541,field
G5,343,6/6/2020,6:59,13.541,field
G5,343,6/6/2020,7:59,13.541,field
G5,343,6/6/2020,8:59,14.042,field
G5,343,6/6/2020,9:59,16.046,field
G5,343,6/6/2020,10:59,16.547,field
G5,343,6/6/2020,11:59,18.55,field
G5,343,6/6/2020,12:59,22.054,field
G5,343,6/6/2020,13:59,26.555,field
G5,343,6/6/2020,14:59,21.053,field
G5,343,6/6/2020,15:59,19.051,field
G5,343,6/6/2020,16:59,17.549,field
G5,343,6/6/2020,17:59,16.547,field
G5,343,6/6/2020,18:59,16.547,field
G5,343,6/6/2020,19:59,16.547,field
G5,343,6/6/2020,20:59,16.547,field
G5,343,6/6/2020,21:59,16.046,field
G5,343,6/6/2020,22:59,15.545,field
G5,343,6/6/2020,23:59,15.545,field
G5,343,6/7/2020,0:59,15.044,field
G5,343,6/7/2020,1:59,15.044,field
G5,343,6/7/2020,2:59,14.543,field
G5,343,6/7/2020,3:59,14.042,field
G5,343,6/7/2020,4:59,14.042,field
G5,343,6/7/2020,5:59,13.541,field
G5,343,6/7/2020,6:59,13.541,field
G5,343,6/7/2020,7:59,13.541,field
G5,343,6/7/2020,8:59,13.04,field
G5,343,6/7/2020,9:59,22.054,field
G5,343,6/7/2020,10:59,27.554,field
G5,343,6/7/2020,11:59,30.053,field
G5,343,6/7/2020,12:59,30.053,field
G5,343,6/7/2020,13:59,32.051,field
G5,343,6/7/2020,14:59,30.552,field
G5,343,6/7/2020,15:59,26.055,field
G5,343,6/7/2020,16:59,24.054,field
G5,343,6/7/2020,17:59,19.551,field
G5,343,6/7/2020,18:59,20.052,field
G5,343,6/7/2020,19:59,19.051,field
G5,343,6/7/2020,20:59,18.049,field
G5,343,6/7/2020,21:59,17.048,field
G5,343,6/7/2020,22:59,16.547,field
G5,343,6/7/2020,23:59,16.046,field
G5,343,6/8/2020,0:59,15.545,field
G5,343,6/8/2020,1:59,15.044,field
G5,343,6/8/2020,2:59,14.543,field
G5,343,6/8/2020,3:59,14.042,field
G5,343,6/8/2020,4:59,13.541,field
G5,343,6/8/2020,5:59,13.04,field
G5,343,6/8/2020,6:59,12.539,field
G5,343,6/8/2020,7:59,12.539,field
G5,343,6/8/2020,8:59,12.539,field
G5,343,6/8/2020,9:59,15.545,field
G5,343,6/8/2020,10:59,32.55,field
G5,343,6/8/2020,11:59,30.552,field
G5,343,6/8/2020,12:59,31.052,field
G5,343,6/8/2020,13:59,32.051,field
G5,343,6/8/2020,14:59,32.051,field
G5,343,6/8/2020,15:59,29.553,field
G5,343,6/8/2020,16:59,25.555,field
G5,343,6/8/2020,17:59,19.551,field
G5,343,6/8/2020,18:59,12.037,field
G5,343,6/8/2020,19:59,11.035,field
G5,343,6/8/2020,20:59,12.539,field
G5,343,6/8/2020,21:59,13.04,field
G5,343,6/8/2020,22:59,12.539,field
G5,343,6/8/2020,23:59,12.037,field
G5,343,6/9/2020,0:59,11.536,field
G5,343,6/9/2020,1:59,11.536,field
G5,343,6/9/2020,2:59,11.035,field
G5,343,6/9/2020,3:59,10.533,field
G5,343,6/9/2020,4:59,10.533,field
G5,343,6/9/2020,5:59,10.032,field
G5,343,6/9/2020,6:59,10.032,field
G5,343,6/9/2020,7:59,10.032,field
G5,343,6/9/2020,8:59,10.032,field
G5,343,6/9/2020,9:59,10.032,field
G5,343,6/9/2020,10:59,10.032,field
G5,343,6/9/2020,11:59,10.032,field
G5,343,6/9/2020,12:59,10.533,field
G5,343,6/9/2020,13:59,16.547,field
G5,343,6/9/2020,14:59,24.555,field
G5,343,6/9/2020,15:59,20.052,field
G5,343,6/9/2020,16:59,16.547,field
G5,343,6/9/2020,17:59,14.042,field
G5,343,6/9/2020,18:59,13.04,field
G5,343,6/9/2020,19:59,12.539,field
G5,343,6/9/2020,20:59,12.539,field
G5,343,6/9/2020,21:59,12.539,field
G5,343,6/9/2020,22:59,12.037,field
G5,343,6/9/2020,23:59,12.037,field
G5,343,6/10/2020,0:59,11.536,field
G5,343,6/10/2020,1:59,11.536,field
G5,343,6/10/2020,2:59,11.035,field
G5,343,6/10/2020,3:59,11.035,field
G5,343,6/10/2020,4:59,10.533,field
G5,343,6/10/2020,5:59,10.533,field
G5,343,6/10/2020,6:59,10.032,field
G5,343,6/10/2020,7:59,10.032,field
G5,343,6/10/2020,8:59,10.032,field
G5,343,6/10/2020,9:59,10.032,field
G5,343,6/10/2020,10:59,10.533,field
G5,343,6/10/2020,11:59,25.555,field
G5,343,6/10/2020,12:59,29.553,field
G5,343,6/10/2020,13:59,31.052,field
G5,343,6/10/2020,14:59,26.055,field
G5,343,6/10/2020,15:59,26.555,field
G5,343,6/10/2020,16:59,24.555,field
G5,343,6/10/2020,17:59,20.052,field
G5,343,6/10/2020,18:59,18.55,field
G5,343,6/10/2020,19:59,17.549,field
G5,343,6/10/2020,20:59,16.046,field
G5,343,6/10/2020,21:59,14.042,field
G5,343,6/10/2020,22:59,13.541,field
G5,343,6/10/2020,23:59,13.541,field
G5,343,6/11/2020,0:59,13.04,field
G5,343,6/11/2020,1:59,13.04,field
G5,343,6/11/2020,2:59,12.539,field
G5,343,6/11/2020,3:59,12.539,field
G5,343,6/11/2020,4:59,12.037,field
G5,343,6/11/2020,5:59,12.037,field
G5,343,6/11/2020,6:59,12.037,field
G5,343,6/11/2020,7:59,11.536,field
G5,343,6/11/2020,8:59,11.536,field
G5,343,6/11/2020,9:59,21.553,field
G5,343,6/11/2020,10:59,26.555,field
G5,343,6/11/2020,11:59,29.054,field
G5,343,6/11/2020,12:59,30.053,field
G5,343,6/11/2020,13:59,29.553,field
G5,343,6/11/2020,14:59,29.553,field
G5,343,6/11/2020,15:59,28.554,field
G5,343,6/11/2020,16:59,26.555,field
G5,343,6/11/2020,17:59,25.055,field
G5,343,6/11/2020,18:59,23.554,field
G5,343,6/11/2020,19:59,22.054,field
G5,343,6/11/2020,20:59,21.053,field
