snakeid,mass_g,date,time,temp,location
G1,857.5,5/28/2020,11:59,28.64,rook
G1,857.5,5/28/2020,12:59,30.138,rook
G1,857.5,5/28/2020,13:59,31.137,rook
G1,857.5,5/28/2020,14:59,29.639,rook
G1,857.5,5/28/2020,15:59,31.137,rook
G1,857.5,5/28/2020,16:59,32.634,rook
G1,857.5,5/28/2020,17:59,29.139,rook
G1,857.5,5/28/2020,18:59,27.14,rook
G1,857.5,5/28/2020,19:59,26.641,rook
G1,857.5,5/28/2020,20:59,26.141,rook
G1,857.5,5/28/2020,21:59,26.141,rook
G1,857.5,5/28/2020,22:59,25.641,rook
G1,857.5,5/28/2020,23:59,25.141,rook
G1,857.5,5/29/2020,0:59,24.14,rook
G1,857.5,5/29/2020,1:59,23.64,rook
G1,857.5,5/29/2020,2:59,22.639,rook
G1,857.5,5/29/2020,3:59,22.139,rook
G1,857.5,5/29/2020,4:59,21.138,rook
G1,857.5,5/29/2020,5:59,20.136,rook
G1,857.5,5/29/2020,6:59,19.636,rook
G1,857.5,5/29/2020,7:59,19.135,rook
G1,857.5,5/29/2020,8:59,25.141,rook
G1,857.5,5/29/2020,9:59,33.632,rook
G1,857.5,5/29/2020,10:59,31.636,rook
G1,857.5,5/29/2020,11:59,34.131,rook
G1,857.5,5/29/2020,12:59,28.64,rook
G1,857.5,5/29/2020,13:59,29.639,rook
G1,857.5,5/29/2020,14:59,31.137,rook
G1,857.5,5/29/2020,15:59,29.639,rook
G1,857.5,5/29/2020,16:59,30.138,rook
G1,857.5,5/29/2020,17:59,31.636,rook
G1,857.5,5/29/2020,18:59,30.637,rook
G1,857.5,5/29/2020,19:59,25.641,rook
G1,857.5,5/29/2020,20:59,24.64,rook
G1,857.5,5/29/2020,21:59,23.64,rook
G1,857.5,5/29/2020,22:59,23.14,rook
G1,857.5,5/29/2020,23:59,22.139,rook
G1,857.5,5/30/2020,0:59,21.638,rook
G1,857.5,5/30/2020,1:59,20.637,rook
G1,857.5,5/30/2020,2:59,20.136,rook
G1,857.5,5/30/2020,3:59,19.636,rook
G1,857.5,5/30/2020,4:59,18.634,rook
G1,857.5,5/30/2020,5:59,18.133,rook
G1,857.5,5/30/2020,6:59,17.632,rook
G1,857.5,5/30/2020,7:59,17.131,rook
G1,857.5,5/30/2020,8:59,19.636,rook
G1,857.5,5/30/2020,9:59,32.135,rook
G1,857.5,5/30/2020,10:59,31.137,rook
G1,857.5,5/30/2020,11:59,32.135,rook
G1,857.5,5/30/2020,12:59,32.634,rook
G1,857.5,5/30/2020,13:59,31.137,rook
G1,857.5,5/30/2020,14:59,31.636,rook
G1,857.5,5/30/2020,15:59,29.639,rook
G1,857.5,5/30/2020,16:59,25.641,rook
G1,857.5,5/30/2020,17:59,26.141,rook
G1,857.5,5/30/2020,18:59,24.14,rook
G1,857.5,5/30/2020,19:59,23.14,rook
G1,857.5,5/30/2020,20:59,21.638,rook
G1,857.5,5/30/2020,21:59,20.637,rook
G1,857.5,5/30/2020,22:59,19.636,rook
G1,857.5,5/30/2020,23:59,18.634,field
G1,857.5,5/31/2020,0:59,18.133,field
G1,857.5,5/31/2020,1:59,17.632,field
G1,857.5,5/31/2020,2:59,17.632,field
G1,857.5,5/31/2020,3:59,17.131,field
G1,857.5,5/31/2020,4:59,16.629,field
G1,857.5,5/31/2020,5:59,16.128,field
G1,857.5,5/31/2020,6:59,15.627,field
G1,857.5,5/31/2020,7:59,15.627,field
G1,857.5,5/31/2020,8:59,20.136,field
G1,857.5,5/31/2020,9:59,31.636,field
G1,857.5,5/31/2020,10:59,31.137,field
G1,857.5,5/31/2020,11:59,31.137,field
G1,857.5,5/31/2020,12:59,28.64,field
G1,857.5,5/31/2020,13:59,30.138,field
G1,857.5,5/31/2020,14:59,33.632,field
G1,857.5,5/31/2020,15:59,31.137,field
G1,857.5,5/31/2020,16:59,30.637,field
G1,857.5,5/31/2020,17:59,33.632,field
G1,857.5,5/31/2020,18:59,30.637,field
G1,857.5,5/31/2020,19:59,27.64,field
G1,857.5,5/31/2020,20:59,25.141,field
G1,857.5,5/31/2020,21:59,23.64,field
G1,857.5,5/31/2020,22:59,22.639,field
G1,857.5,5/31/2020,23:59,21.138,field
G1,857.5,6/1/2020,0:59,20.637,field
G1,857.5,6/1/2020,1:59,19.636,field
G1,857.5,6/1/2020,2:59,18.634,field
G1,857.5,6/1/2020,3:59,18.133,field
G1,857.5,6/1/2020,4:59,17.632,field
G1,857.5,6/1/2020,5:59,17.131,field
G1,857.5,6/1/2020,6:59,16.629,field
G1,857.5,6/1/2020,7:59,16.128,field
G1,857.5,6/1/2020,8:59,23.14,field
G1,857.5,6/1/2020,9:59,32.634,field
G1,857.5,6/1/2020,10:59,30.637,field
G1,857.5,6/1/2020,11:59,31.137,field
G1,857.5,6/1/2020,12:59,33.133,field
G1,857.5,6/1/2020,13:59,31.636,field
G1,857.5,6/1/2020,14:59,31.636,field
G1,857.5,6/1/2020,15:59,33.133,field
