snakeid,mass_g,date,time,temp,location
NG1,426.7,5/28/2020,11:59,28.14,rook
NG1,426.7,5/28/2020,12:59,30.637,rook
NG1,426.7,5/28/2020,13:59,31.137,rook
NG1,426.7,5/28/2020,14:59,31.137,rook
NG1,426.7,5/28/2020,15:59,32.135,rook
NG1,426.7,5/28/2020,16:59,31.137,rook
NG1,426.7,5/28/2020,17:59,29.639,rook
NG1,426.7,5/28/2020,18:59,25.141,rook
NG1,426.7,5/28/2020,19:59,24.64,rook
NG1,426.7,5/28/2020,20:59,23.14,rook
NG1,426.7,5/28/2020,21:59,21.138,rook
NG1,426.7,5/28/2020,22:59,21.638,rook
NG1,426.7,5/28/2020,23:59,21.138,rook
NG1,426.7,5/29/2020,0:59,19.636,rook
NG1,426.7,5/29/2020,1:59,18.634,rook
NG1,426.7,5/29/2020,2:59,18.133,rook
NG1,426.7,5/29/2020,3:59,17.632,rook
NG1,426.7,5/29/2020,4:59,16.629,rook
NG1,426.7,5/29/2020,5:59,16.629,rook
NG1,426.7,5/29/2020,6:59,16.128,rook
NG1,426.7,5/29/2020,7:59,16.128,rook
NG1,426.7,5/29/2020,8:59,18.634,rook
NG1,426.7,5/29/2020,9:59,25.141,rook
NG1,426.7,5/29/2020,10:59,29.139,rook
NG1,426.7,5/29/2020,11:59,30.637,rook
NG1,426.7,5/29/2020,12:59,32.135,rook
NG1,426.7,5/29/2020,13:59,31.137,rook
NG1,426.7,5/29/2020,14:59,25.641,rook
NG1,426.7,5/29/2020,15:59,30.138,rook
NG1,426.7,5/29/2020,16:59,31.636,rook
NG1,426.7,5/29/2020,17:59,29.639,rook
NG1,426.7,5/29/2020,18:59,27.64,rook
NG1,426.7,5/29/2020,19:59,24.64,rook
NG1,426.7,5/29/2020,20:59,22.639,rook
NG1,426.7,5/29/2020,21:59,22.139,rook
NG1,426.7,5/29/2020,22:59,21.138,rook
NG1,426.7,5/29/2020,23:59,20.136,rook
NG1,426.7,5/30/2020,0:59,18.634,rook
NG1,426.7,5/30/2020,1:59,17.632,rook
NG1,426.7,5/30/2020,2:59,17.131,rook
NG1,426.7,5/30/2020,3:59,17.131,rook
NG1,426.7,5/30/2020,4:59,16.629,rook
NG1,426.7,5/30/2020,5:59,16.629,rook
NG1,426.7,5/30/2020,6:59,16.629,rook
NG1,426.7,5/30/2020,7:59,16.629,rook
NG1,426.7,5/30/2020,8:59,19.636,rook
NG1,426.7,5/30/2020,9:59,27.14,rook
NG1,426.7,5/30/2020,10:59,31.137,rook
NG1,426.7,5/30/2020,11:59,31.137,rook
NG1,426.7,5/30/2020,12:59,31.137,rook
NG1,426.7,5/30/2020,13:59,32.634,rook
NG1,426.7,5/30/2020,14:59,30.637,rook
NG1,426.7,5/30/2020,15:59,27.64,rook
NG1,426.7,5/30/2020,16:59,24.14,rook
NG1,426.7,5/30/2020,17:59,23.64,rook
NG1,426.7,5/30/2020,18:59,22.639,rook
NG1,426.7,5/30/2020,19:59,20.637,rook
NG1,426.7,5/30/2020,20:59,20.136,rook
NG1,426.7,5/30/2020,21:59,19.135,rook
NG1,426.7,5/30/2020,22:59,18.634,rook
NG1,426.7,5/30/2020,23:59,18.634,rook
NG1,426.7,5/31/2020,0:59,18.133,rook
NG1,426.7,5/31/2020,1:59,18.133,rook
NG1,426.7,5/31/2020,2:59,17.632,rook
NG1,426.7,5/31/2020,3:59,17.632,rook
NG1,426.7,5/31/2020,4:59,17.632,rook
NG1,426.7,5/31/2020,5:59,17.632,rook
NG1,426.7,5/31/2020,6:59,17.131,rook
NG1,426.7,5/31/2020,7:59,17.131,rook
NG1,426.7,5/31/2020,8:59,19.135,rook
NG1,426.7,5/31/2020,9:59,25.141,rook
NG1,426.7,5/31/2020,10:59,26.641,rook
NG1,426.7,5/31/2020,11:59,31.636,rook
NG1,426.7,5/31/2020,12:59,25.141,rook
NG1,426.7,5/31/2020,13:59,25.141,rook
NG1,426.7,5/31/2020,14:59,29.639,rook
NG1,426.7,5/31/2020,15:59,29.139,rook
NG1,426.7,5/31/2020,16:59,27.64,rook
NG1,426.7,5/31/2020,17:59,27.64,rook
NG1,426.7,5/31/2020,18:59,25.641,rook
NG1,426.7,5/31/2020,19:59,24.14,rook
NG1,426.7,5/31/2020,20:59,21.638,rook
NG1,426.7,5/31/2020,21:59,20.637,rook
NG1,426.7,5/31/2020,22:59,20.136,rook
NG1,426.7,5/31/2020,23:59,19.135,rook
NG1,426.7,6/1/2020,0:59,18.634,rook
NG1,426.7,6/1/2020,1:59,18.634,rook
NG1,426.7,6/1/2020,2:59,18.133,rook
NG1,426.7,6/1/2020,3:59,17.632,rook
NG1,426.7,6/1/2020,4:59,17.632,rook
NG1,426.7,6/1/2020,5:59,17.131,rook
NG1,426.7,6/1/2020,6:59,17.131,rook
NG1,426.7,6/1/2020,7:59,16.629,rook
NG1,426.7,6/1/2020,8:59,16.629,rook
NG1,426.7,6/1/2020,9:59,30.637,rook
NG1,426.7,6/1/2020,10:59,32.634,rook
NG1,426.7,6/1/2020,11:59,30.637,rook
NG1,426.7,6/1/2020,12:59,31.137,rook
NG1,426.7,6/1/2020,13:59,30.637,rook
NG1,426.7,6/1/2020,14:59,33.632,rook
NG1,426.7,6/1/2020,15:59,32.634,rook
NG1,426.7,6/1/2020,16:59,32.135,rook
NG1,426.7,6/1/2020,17:59,31.636,rook
NG1,426.7,6/1/2020,18:59,29.139,rook
NG1,426.7,6/1/2020,19:59,26.641,rook
NG1,426.7,6/1/2020,20:59,25.641,rook
NG1,426.7,6/1/2020,21:59,23.64,rook
NG1,426.7,6/1/2020,22:59,23.14,rook
NG1,426.7,6/1/2020,23:59,21.638,rook
NG1,426.7,6/2/2020,0:59,20.136,rook
NG1,426.7,6/2/2020,1:59,19.636,rook
NG1,426.7,6/2/2020,2:59,18.634,rook
NG1,426.7,6/2/2020,3:59,18.133,rook
NG1,426.7,6/2/2020,4:59,17.632,rook
NG1,426.7,6/2/2020,5:59,17.131,rook
NG1,426.7,6/2/2020,6:59,16.629,rook
NG1,426.7,6/2/2020,7:59,16.629,rook
NG1,426.7,6/2/2020,8:59,16.629,rook
NG1,426.7,6/2/2020,9:59,20.637,rook
NG1,426.7,6/2/2020,10:59,27.14,rook
NG1,426.7,6/2/2020,11:59,29.639,rook
NG1,426.7,6/2/2020,12:59,29.139,rook
NG1,426.7,6/2/2020,13:59,33.133,rook
NG1,426.7,6/2/2020,14:59,31.636,rook
NG1,426.7,6/2/2020,15:59,30.637,rook
NG1,426.7,6/2/2020,16:59,30.138,rook
NG1,426.7,6/2/2020,17:59,27.64,rook
NG1,426.7,6/2/2020,18:59,26.641,rook
NG1,426.7,6/2/2020,19:59,25.141,rook
NG1,426.7,6/2/2020,20:59,24.14,rook
NG1,426.7,6/2/2020,21:59,21.138,rook
NG1,426.7,6/2/2020,22:59,19.636,rook
NG1,426.7,6/2/2020,23:59,19.135,rook
NG1,426.7,6/3/2020,0:59,18.634,rook
NG1,426.7,6/3/2020,1:59,18.634,rook
NG1,426.7,6/3/2020,2:59,18.634,rook
NG1,426.7,6/3/2020,3:59,18.634,rook
NG1,426.7,6/3/2020,4:59,18.634,rook
NG1,426.7,6/3/2020,5:59,18.133,rook
NG1,426.7,6/3/2020,6:59,18.133,rook
NG1,426.7,6/3/2020,7:59,18.133,rook
NG1,426.7,6/3/2020,8:59,18.133,rook
NG1,426.7,6/3/2020,9:59,24.14,rook
NG1,426.7,6/3/2020,10:59,29.139,rook
NG1,426.7,6/3/2020,11:59,32.135,rook
NG1,426.7,6/3/2020,12:59,29.639,rook
NG1,426.7,6/3/2020,13:59,32.634,rook
NG1,426.7,6/3/2020,14:59,31.636,rook
NG1,426.7,6/3/2020,15:59,30.637,rook
NG1,426.7,6/3/2020,16:59,29.139,rook
NG1,426.7,6/3/2020,17:59,28.14,rook
NG1,426.7,6/3/2020,18:59,26.641,rook
NG1,426.7,6/3/2020,19:59,25.141,rook
NG1,426.7,6/3/2020,20:59,21.638,rook
NG1,426.7,6/3/2020,21:59,20.136,rook
NG1,426.7,6/3/2020,22:59,19.636,rook
NG1,426.7,6/3/2020,23:59,19.135,rook
NG1,426.7,6/4/2020,0:59,19.135,rook
NG1,426.7,6/4/2020,1:59,19.135,rook
NG1,426.7,6/4/2020,2:59,18.634,rook
NG1,426.7,6/4/2020,3:59,18.634,rook
NG1,426.7,6/4/2020,4:59,18.634,rook
NG1,426.7,6/4/2020,5:59,18.634,rook
NG1,426.7,6/4/2020,6:59,18.634,rook
NG1,426.7,6/4/2020,7:59,18.133,rook
NG1,426.7,6/4/2020,8:59,18.133,rook
NG1,426.7,6/4/2020,9:59,20.136,rook
NG1,426.7,6/4/2020,10:59,25.641,rook
NG1,426.7,6/4/2020,11:59,30.637,rook
NG1,426.7,6/4/2020,12:59,30.138,rook
NG1,426.7,6/4/2020,13:59,30.138,rook
NG1,426.7,6/4/2020,14:59,31.137,rook
NG1,426.7,6/4/2020,15:59,30.138,rook
NG1,426.7,6/4/2020,16:59,30.637,rook
NG1,426.7,6/4/2020,17:59,28.64,rook
NG1,426.7,6/4/2020,18:59,27.14,rook
NG1,426.7,6/4/2020,19:59,22.139,rook
NG1,426.7,6/4/2020,20:59,20.637,rook
NG1,426.7,6/4/2020,21:59,19.636,rook
NG1,426.7,6/4/2020,22:59,19.135,rook
NG1,426.7,6/4/2020,23:59,19.135,rook
NG1,426.7,6/5/2020,0:59,19.135,rook
NG1,426.7,6/5/2020,1:59,18.634,rook
NG1,426.7,6/5/2020,2:59,18.634,rook
NG1,426.7,6/5/2020,3:59,18.634,rook
NG1,426.7,6/5/2020,4:59,18.133,rook
NG1,426.7,6/5/2020,5:59,18.133,rook
NG1,426.7,6/5/2020,6:59,18.133,rook
NG1,426.7,6/5/2020,7:59,18.133,rook
NG1,426.7,6/5/2020,8:59,19.135,rook
NG1,426.7,6/5/2020,9:59,24.64,rook
NG1,426.7,6/5/2020,10:59,29.639,rook
NG1,426.7,6/5/2020,11:59,30.637,rook
NG1,426.7,6/5/2020,12:59,32.135,rook
NG1,426.7,6/5/2020,13:59,33.133,rook
NG1,426.7,6/5/2020,14:59,29.139,rook
NG1,426.7,6/5/2020,15:59,33.133,rook
NG1,426.7,6/5/2020,16:59,31.636,rook
NG1,426.7,6/5/2020,17:59,29.639,rook
NG1,426.7,6/5/2020,18:59,27.64,rook
NG1,426.7,6/5/2020,19:59,22.639,rook
NG1,426.7,6/5/2020,20:59,22.639,rook
NG1,426.7,6/5/2020,21:59,23.14,rook
NG1,426.7,6/5/2020,22:59,22.139,rook
NG1,426.7,6/5/2020,23:59,20.136,rook
NG1,426.7,6/6/2020,0:59,19.135,rook
NG1,426.7,6/6/2020,1:59,19.135,rook
NG1,426.7,6/6/2020,2:59,17.131,rook
NG1,426.7,6/6/2020,3:59,13.621,rook
NG1,426.7,6/6/2020,4:59,16.629,rook
NG1,426.7,6/6/2020,5:59,17.131,rook
NG1,426.7,6/6/2020,6:59,17.131,rook
NG1,426.7,6/6/2020,7:59,17.632,rook
NG1,426.7,6/6/2020,8:59,17.632,rook
NG1,426.7,6/6/2020,9:59,17.632,rook
NG1,426.7,6/6/2020,10:59,17.632,rook
NG1,426.7,6/6/2020,11:59,17.632,rook
NG1,426.7,6/6/2020,12:59,17.632,rook
NG1,426.7,6/6/2020,13:59,19.135,rook
NG1,426.7,6/6/2020,14:59,16.128,rook
NG1,426.7,6/6/2020,15:59,16.629,rook
NG1,426.7,6/6/2020,16:59,17.131,rook
NG1,426.7,6/6/2020,17:59,18.634,rook
NG1,426.7,6/6/2020,18:59,19.135,rook
NG1,426.7,6/6/2020,19:59,19.135,rook
NG1,426.7,6/6/2020,20:59,18.634,rook
NG1,426.7,6/6/2020,21:59,18.133,rook
NG1,426.7,6/6/2020,22:59,18.133,rook
NG1,426.7,6/6/2020,23:59,18.133,rook
NG1,426.7,6/7/2020,0:59,17.632,rook
NG1,426.7,6/7/2020,1:59,17.632,rook
NG1,426.7,6/7/2020,2:59,17.632,rook
NG1,426.7,6/7/2020,3:59,17.632,rook
NG1,426.7,6/7/2020,4:59,17.632,rook
NG1,426.7,6/7/2020,5:59,17.131,rook
NG1,426.7,6/7/2020,6:59,17.131,rook
NG1,426.7,6/7/2020,7:59,17.131,rook
NG1,426.7,6/7/2020,8:59,17.131,rook
NG1,426.7,6/7/2020,9:59,21.638,rook
NG1,426.7,6/7/2020,10:59,25.641,rook
NG1,426.7,6/7/2020,11:59,28.64,rook
NG1,426.7,6/7/2020,12:59,29.139,rook
NG1,426.7,6/7/2020,13:59,31.636,rook
NG1,426.7,6/7/2020,14:59,29.639,rook
