Group,Estimate,SE,CI
G,27.927414742532434,0.11738859254157377,"( 27.67 ,  28.19 )"
N,23.54529525773343,0.12679417153549527,"( 23.27 ,  23.82 )"
G - N,4.3821194847990075,0.17279132962699773,"( 4 ,  4.76 )"
