Contrast,Estimate,SE,CI
Prairie - Rookery,-2.712781558026715,0.17026022571355595,"( -3.08 ,  -2.34 )"
Exposed - Shaded,4.937135325547295,0.17026022571355648,"( 4.57 ,  5.3 )"
